title,year,conf,field,pseudo_datasets,real_datasets,time_series,interv_setting,synthetic,pseudo_real,real,interventions,small,medium,big,synth_structural,synth_observational,synth_interventional,synth_qualitative,real_structural,real_observational,real_interventional,real_qualitative,included
Causal structure learning from time series: Large regression coefficients may predict causal links better in practice than small p-values,2020,NeurIPS,,,,,,,,,,,,,,,,,,,,,0
A Scale-Invariant Sorting Criterion to Find a Causal Order in Additive Noise Models,2023,NeurIPS,,,,,,,,,,,,,,,,,,,,,0
NODAGS-Flow: Nonlinear Cyclic Causal Structure Learning,2023,AISTATS,bio,,Frangieh,0,1,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1
Constraint-Based Causal Discovery using Partial Ancestral Graphs in the presence of Cycles,2020,UAI,,,,,,,,,,,,,,,,,,,,,0
Evaluation of Causal Structure Learning Algorithms via Risk Estimation,2020,UAI,,,,,,,,,,,,,,,,,,,,,0
A Simultaneous Discover-Identify Approach to Causal Inference in Linear Models,2020,AAAI,,,,0,0,1,0,0,,,,,1,0,0,0,,,,,1
RCD: Repetitive causal discovery of linear non-Gaussian acyclic models with latent confounders,2020,AISTATS,socio,,general-survey,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1
Causal Discovery in Semi-Stationary Time Series,2024,NeurIPS,earth,,,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,1,1
Local Constraint-Based Causal Discovery under Selection Bias,2022,CLeaR,bio,,,0,1,1,0,1,1,0,0,1,1,0,0,0,1,0,1,0,1
Constraint-based Causal Structure Learning with Consistent Separating Sets,2019,NeurIPS,,bnlearn,,0,0,1,1,0,,,,,1,0,0,0,,,,,1
Sampling and Counting Acyclic Orientations in Chordal Graphs (Student Abstract),2022,AAAI,,,,,,,,,,,,,,,,,,,,,0
Causal Discovery and Forecasting in Nonstationary Environments with State-Space Models,2019,ICML,econ,,,1,1,1,0,1,1,1,0,0,1,1,1,0,1,1,1,0,1
Bayesian Active Causal Discovery with Multi-Fidelity Experiments,2023,NeurIPS,bio,DREAM,,0,1,1,1,0,,,,,1,1,1,0,,,,,1
Nyström M-Hilbert-Schmidt Independence Criterion,2023,UAI,,,Tubingen,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1
CausalTime: Realistically Generated Time-series for Benchmarking of Causal Discovery,2023,ICLR,,,,1,0,0,1,0,,,,,1,0,0,0,,,,,1
On the sample complexity of conditional independence testing with Von Mises estimator with application to causal discovery,2024,ICML,,,,0,0,1,0,0,,,,,1,0,0,0,,,,,1
Evaluating Temporal Observation-Based Causal Discovery Techniques Applied to Road Driver Behaviour,2023,CLeaR,,,,,,,,,,,,,,,,,,,,,0
Towards Robust Relational Causal Discovery,2019,UAI,,,,0,0,1,0,0,,,,,1,0,0,0,,,,,1
Large-Scale Differentiable Causal Discovery of Factor Graphs,2022,NeurIPS,bio,,Frangieh,0,1,1,0,1,1,0,0,1,1,1,1,0,1,1,1,1,1
Latent Hierarchical Causal Structure Discovery with Rank Constraints,2022,NeurIPS,,,,0,0,1,0,0,,,,,1,0,0,0,,,,,1
Causal Discovery Under Local Privacy,2024,CLeaR,bio,,Sachs,0,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1
Learning DAGs from Data with Few Root Causes,2023,NeurIPS,bio,,Sachs,0,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1
Extracting the Multiscale Causal Backbone of Brain Dynamics,2023,CLeaR,neuro,,,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1
Federated Causality Learning with Explainable Adaptive Optimization,2023,AAAI,bio,,Sachs,0,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1
NTS-NOTEARS: Learning Nonparametric DBNs With Prior Knowledge,2021,AISTATS,"neuro,sports",Smith-fmri,,1,0,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,1
Causal additive models with unobserved variables,2021,UAI,neuro,Smith-fmri,,0,0,1,1,0,,,,,1,0,0,0,,,,,1
Iterative Causal Discovery in the Possible Presence of Latent Confounders and Selection Bias,2021,NeurIPS,,,,0,0,1,0,0,,,,,1,0,0,0,,,,,1
Learning Granger Causality from Instance-wise Self-attentive Hawkes Processes,2024,AISTATS,other,,,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1
Integrating overlapping datasets using bivariate causal discovery,2019,AAAI,bio,,Sachs,0,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1
Differentiable DAG Sampling,2022,ICLR,bio,Syntren,Sachs,0,0,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,1
